Wall time,Step,Value
1704290020.3915875,12288,813.5333251953125
1704290026.138821,14336,767.1666870117188
1704290046.7969716,22528,834.3076782226562
1704290052.2717638,24576,832.586181640625
1704290067.5891316,30720,861.2857055664062
1704290072.6324954,32768,841.9473876953125
1704290087.9548743,38912,838.478271484375
1704290093.0174737,40960,845.2083129882812
1704290098.3519583,43008,842.5294189453125
1704290119.0407238,51200,836.8688354492188
1704290166.1947057,69632,847.345703125
1704290181.8058465,75776,857.2613525390625
1704290203.2862728,83968,862.0206298828125
1704290213.808768,88064,866.1599731445312
1704290224.3112147,92160,870.9400024414062
1704290229.6194665,94208,870.9400024414062
1704290240.4337196,98304,865.8099975585938
1704290258.2775328,102400,879.2100219726562
1704290280.1780596,110592,876.9299926757812
1704290285.7008345,112640,878.1500244140625
1704290291.0037918,114688,878.1500244140625
1704290296.1665635,116736,877.1099853515625
1704290301.4248023,118784,873.8099975585938
1704290333.6316597,131072,871.1400146484375
1704290344.4550982,135168,864.989990234375
1704290349.7600532,137216,866.1599731445312
1704290355.2268944,139264,845.5599975585938
1704290360.5252001,141312,845.5599975585938
1704290376.563855,147456,838.9400024414062
1704290381.893193,149504,842.8800048828125
1704290387.2654266,151552,848.1099853515625
1704290392.6447904,153600,848.1099853515625
1704290418.9812288,163840,832.3699951171875
1704290445.3153956,174080,821.4299926757812
1704290461.418948,180224,821.469970703125
1704290466.7764926,182272,818.8099975585938
1704290498.5557327,194560,769.030029296875
1704290545.1809237,210944,759.5399780273438
1704290561.288922,217088,779.4299926757812
1704290566.6713073,219136,783.8900146484375
1704290604.527081,233472,730.5999755859375
1704290620.8151333,239616,715.97998046875
1704290631.4942405,243712,710.3300170898438
1704290668.0963197,258048,709.4199829101562
1704290673.455947,260096,715.739990234375
1704290689.4614687,266240,682.9400024414062
1704290694.802161,268288,681.6699829101562
1704290733.0052018,282624,599.5999755859375
1704290743.6062732,286720,595.489990234375
1704290754.0327163,290816,600.1099853515625
1704290759.4583817,292864,597.4600219726562
1704290764.7359776,294912,578.27001953125
1704290804.233384,309248,519.030029296875
1704290831.243768,319488,525.8699951171875
1704290842.0206573,323584,516.469970703125
1704290847.4675524,325632,513.4500122070312
1704290852.9335444,327680,510.9700012207031
1704290869.096634,333824,519.8499755859375
1704290884.9175007,339968,508.2900085449219
1704290895.6921246,344064,517.780029296875
1704290901.1963058,346112,500.8900146484375
1704290917.5166743,352256,508.05999755859375
1704290949.3338187,364544,450.3500061035156
1704290954.791509,366592,426.5400085449219
1704290965.6589472,370688,400.45001220703125
1704290981.8530357,376832,408.9700012207031
1704290992.7079782,380928,412.2900085449219
1704290998.1520748,382976,396.0199890136719
1704291008.9415295,387072,406.2799987792969
1704291019.3965547,391168,422.45001220703125
1704291024.9168034,393216,427.0899963378906
1704291064.5640552,407552,478.010009765625
1704291107.8313913,423936,504.9100036621094
1704291113.3384762,425984,485.45001220703125
1704291118.8398557,428032,480.05999755859375
1704291140.7926352,436224,459.5199890136719
1704291194.380273,456704,424.8299865722656
1704291199.6313045,458752,426.17999267578125
1704291210.4694214,462848,436.92999267578125
1704291221.358987,466944,439.20001220703125
1704291232.061846,471040,462.75
1704291248.1768,477184,488.5199890136719
1704291253.5537474,479232,494.3399963378906
1704291258.8654134,481280,505.1000061035156
1704291274.4898272,487424,516.5900268554688
1704291329.7759657,507904,498.19000244140625
1704291340.5495245,512000,507.54998779296875
1704291372.3580546,524288,487.75
1704291388.401978,530432,468.30999755859375
1704291393.7503984,532480,471.8599853515625
1704291399.142741,534528,476.69000244140625
1704291404.5529065,536576,481.260009765625
1704291415.170491,540672,476.510009765625
1704291436.2728112,548864,489.9700012207031
1704291446.6361926,552960,483.2300109863281
1704291457.4332802,557056,472.4800109863281
1704291468.2084656,561152,462.5799865722656
1704291495.1108441,571392,445.9200134277344
1704291527.2599282,583680,450.5400085449219
1704291564.6455638,598016,443.9100036621094
1704291571.5237408,600064,436.6499938964844
1704291598.27917,610304,417.6400146484375
1704291603.4457183,612352,416.0799865722656
1704291619.663609,618496,359.3299865722656
1704291624.8276274,620544,365.4800109863281
1704291629.9794207,622592,362.0400085449219
1704291650.9411335,630784,367.2699890136719
1704291656.1647062,632832,373.8800048828125
1704291666.7421503,636928,377.2799987792969
1704291682.3328137,643072,389.5
1704291703.4055867,651264,397.3900146484375
1704291708.8244069,653312,404.3699951171875
1704291714.0735598,655360,411.3599853515625
1704291719.3242226,657408,411.3999938964844
1704291730.3638108,661504,441.0199890136719
1704291746.7029786,667648,450.1000061035156
1704291751.9284146,669696,452.7200012207031
1704291757.1127274,671744,440.760009765625
1704291773.2523162,677888,413.7799987792969
1704291789.1280208,684032,408.6199951171875
1704291820.8580823,696320,365.9700012207031
1704291832.9555817,700416,356.6199951171875
1704291848.984276,706560,353.4599914550781
1704291854.3464384,708608,358.9700012207031
1704291865.8378325,712704,360.17999267578125
1704291871.1147838,714752,371.44000244140625
1704291898.0448709,724992,393.489990234375
1704291903.5407734,727040,402.3599853515625
1704291924.9473188,735232,387.6400146484375
1704291935.6155527,739328,387.4100036621094
1704291951.5585177,745472,392.2900085449219
1704291973.3388622,753664,377.4200134277344
1704291995.4773703,761856,337.2300109863281
1704292006.6232653,765952,326.04998779296875
1704292028.6556044,774144,308.70001220703125
