Wall time,Step,Value
1704290027.1200008,12288,-5819.87890625
1704290032.9510677,14336,-5796.04443359375
1704290053.3591726,22528,-5630.9169921875
1704290058.411939,24576,-5656.40576171875
1704290073.7607193,30720,-5482.2607421875
1704290078.8928623,32768,-5488.17431640625
1704290094.2700183,38912,-5431.47021484375
1704290099.467983,40960,-5461.66552734375
1704290104.661791,43008,-5455.8603515625
1704290125.7541494,51200,-5439.8955078125
1704290173.523273,69632,-5322.0625
1704290189.582315,75776,-5298.435546875
1704290211.3167868,83968,-5188.36962890625
1704290221.8523006,88064,-5164.11376953125
1704290232.596735,92160,-5074.2001953125
1704290238.0478034,94208,-5050.03466796875
1704290248.34548,98304,-5074.2080078125
1704290264.7458222,102400,-5028.3505859375
1704290286.6753135,110592,-5013.48681640625
1704290292.0028043,112640,-5011.44384765625
1704290297.169995,114688,-4979.94287109375
1704290302.3806934,116736,-4957.8037109375
1704290307.699935,118784,-4920.57763671875
1704290340.1590714,131072,-4900.05615234375
1704290350.9432883,135168,-4945.01611328125
1704290356.3856487,137216,-4929.77685546875
1704290361.7053385,139264,-4943.61962890625
1704290367.1269314,141312,-4875.955078125
1704290383.1503994,147456,-4884.80419921875
1704290388.548018,149504,-4907.2568359375
1704290394.0295362,151552,-4885.65869140625
1704290399.4050448,153600,-4852.46142578125
1704290425.670257,163840,-4975.0419921875
1704290452.4893553,174080,-5101.7373046875
1704290468.6407835,180224,-5194.53662109375
1704290474.0300665,182272,-5234.6083984375
1704290505.8757436,194560,-5387.56640625
1704290556.1289177,210944,-5499.71875
1704290572.3842533,217088,-5494.5078125
1704290577.8466601,219136,-5490.2099609375
1704290615.6760008,233472,-5391.06005859375
1704290631.6476865,239616,-5396.07373046875
1704290642.106504,243712,-5276.48876953125
1704290678.9062078,258048,-5103.419921875
1704290684.0902276,260096,-5064.5390625
1704290700.038627,266240,-4908.41796875
1704290705.4335854,268288,-4888.36572265625
1704290743.1711924,282624,-4418.912109375
1704290753.6007476,286720,-4375.87353515625
1704290764.1964114,290816,-4374.05078125
1704290769.3694062,292864,-4355.373046875
1704290774.366807,294912,-4353.43310546875
1704290815.9500282,309248,-4204.61962890625
1704290842.7982512,319488,-3951.963134765625
1704290853.5918498,323584,-3806.261962890625
1704290859.0395145,325632,-3736.5537109375
1704290864.4270592,327680,-3717.806396484375
1704290880.1844764,333824,-3670.126220703125
1704290896.397852,339968,-3669.751220703125
1704290907.106943,344064,-3604.81396484375
1704290912.5136352,346112,-3577.042236328125
1704290928.4245775,352256,-3470.77587890625
1704290960.136723,364544,-3381.4921875
1704290965.4992135,366592,-3412.683837890625
1704290976.3443353,370688,-3406.21826171875
1704290992.5033178,376832,-3474.625732421875
1704291003.3788373,380928,-3493.51953125
1704291008.5730891,382976,-3463.05859375
1704291019.0998616,387072,-3517.48486328125
1704291029.926527,391168,-3590.167236328125
1704291035.2995791,393216,-3600.697021484375
1704291074.042042,407552,-3908.814208984375
1704291117.2058067,423936,-4276.8349609375
1704291122.5808244,425984,-4273.41748046875
1704291127.960949,428032,-4328.0
1704291149.385725,436224,-4535.7412109375
1704291202.8248048,456704,-4686.47314453125
1704291208.1757073,458752,-4668.416015625
1704291219.1583707,462848,-4616.630859375
1704291229.8359838,466944,-4576.9404296875
1704291240.5978951,471040,-4589.9384765625
1704291256.662109,477184,-4557.10791015625
1704291262.0184171,479232,-4584.15869140625
1704291267.1962051,481280,-4589.42578125
1704291283.1398566,487424,-4505.07373046875
1704291341.3373082,507904,-4069.7880859375
1704291352.0496223,512000,-3943.70361328125
1704291383.92364,524288,-3687.536865234375
1704291400.1260016,530432,-3634.570068359375
1704291405.462485,532480,-3627.918212890625
1704291410.9444027,534528,-3605.091552734375
1704291416.1110551,536576,-3582.740966796875
1704291426.5584407,540672,-3516.64013671875
1704291447.597728,548864,-3321.92822265625
1704291458.3896973,552960,-3267.695556640625
1704291469.1628394,557056,-3281.449951171875
1704291479.899749,561152,-3228.476318359375
1704291506.7063732,571392,-3140.06494140625
1704291538.77061,583680,-3170.504150390625
