Wall time,Step,Value
1689521534.207141,12288,-4935.5859375
1689521540.9606547,14336,-4920.24462890625
1689521567.6009672,22528,-4474.03955078125
1689521574.3026633,24576,-4527.349609375
1689521594.0397723,30720,-4288.2705078125
1689521600.8038874,32768,-4234.23779296875
1689521620.9615428,38912,-4157.76318359375
1689521627.6534092,40960,-4198.38818359375
1689521634.1246052,43008,-4077.2392578125
1689521660.690609,51200,-3960.220458984375
1689521720.3969607,69632,-3667.070556640625
1689521740.1014214,75776,-3561.89013671875
1689521765.7400734,83968,-3539.132080078125
1689521779.1315475,88064,-3557.83935546875
1689521792.3840933,92160,-3604.93994140625
1689521798.7625384,94208,-3658.581298828125
1689521812.0596764,98304,-3739.2880859375
1689521830.0329702,102400,-3795.88720703125
1689521855.8347614,110592,-3892.62841796875
1689521862.445768,112640,-3965.425537109375
1689521869.2054157,114688,-4008.1884765625
1689521875.966308,116736,-4078.163330078125
1689521882.3621278,118784,-4087.568359375
1689521921.6495192,131072,-4272.6005859375
1689521934.850226,135168,-4340.94091796875
1689521941.1038659,137216,-4386.07958984375
1689521947.7266881,139264,-4408.53662109375
1689521954.35299,141312,-4469.2099609375
1689521973.6562803,147456,-4556.4921875
1689521980.3020232,149504,-4579.7216796875
1689521986.9045575,151552,-4617.2333984375
1689521993.6333544,153600,-4629.7548828125
1689522026.5676754,163840,-4648.47216796875
1689522059.7944772,174080,-4712.72998046875
1689522079.8164322,180224,-4616.5390625
1689522086.4830701,182272,-4605.380859375
1689522126.5222294,194560,-4602.5205078125
1689522184.0781512,210944,-4311.2109375
1689522203.895608,217088,-4207.427734375
1689522210.5567393,219136,-4177.439453125
1689522257.1210058,233472,-3849.02490234375
1689522277.2416956,239616,-3667.317626953125
1689522290.7577019,243712,-3497.41748046875
1689522337.2792478,258048,-3306.388427734375
1689522343.9951243,260096,-3359.018798828125
1689522363.8740926,266240,-3240.150634765625
1689522370.221537,268288,-3237.0517578125
1689522416.786017,282624,-3181.650146484375
1689522430.3054354,286720,-3250.147216796875
1689522443.7615657,290816,-3285.36865234375
1689522450.616325,292864,-3244.46435546875
1689522457.454124,294912,-3222.396728515625
1689522509.73959,309248,-3159.143310546875
1689522542.8718889,319488,-3135.48779296875
1689522556.70502,323584,-3118.911865234375
1689522563.3845978,325632,-3100.802978515625
1689522569.7222822,327680,-3075.302490234375
1689522589.72217,333824,-3077.406494140625
1689522610.1092181,339968,-3046.244873046875
1689522622.9546032,344064,-3046.82373046875
1689522629.3018203,346112,-3031.91748046875
1689522649.1553054,352256,-2969.386962890625
1689522689.2020938,364544,-2989.366455078125
1689522695.9705472,366592,-2907.706787109375
1689522709.734149,370688,-2927.206298828125
1689522729.7461767,376832,-2957.03369140625
1689522743.2188258,380928,-2905.817626953125
1689522749.919833,382976,-2926.459228515625
1689522763.740074,387072,-2936.263427734375
1689522777.3215702,391168,-2965.85205078125
1689522784.0700526,393216,-2968.08203125
1689522832.6198463,407552,-3047.43603515625
1689522885.9202013,423936,-2929.833740234375
1689522892.2999249,425984,-2929.984619140625
1689522899.0386894,428032,-2890.908935546875
1689522925.7018473,436224,-2921.263427734375
1689522992.577052,456704,-2913.159423828125
1689522999.4664285,458752,-2935.45556640625
1689523012.986692,462848,-2970.014404296875
1689523026.6229603,466944,-2975.188232421875
1689523039.7583787,471040,-3038.90966796875
1689523060.1009216,477184,-3071.08544921875
1689523066.4347343,479232,-3089.53662109375
1689523072.7293475,481280,-3111.23388671875
1689523092.8483636,487424,-3210.566650390625
1689523162.0749085,507904,-3296.202880859375
1689523175.7118344,512000,-3282.18701171875
1689523214.8619533,524288,-3259.984130859375
1689523234.9475417,530432,-3222.98388671875
1689523241.6597211,532480,-3188.030517578125
1689523248.357287,534528,-3178.64990234375
1689523255.0352123,536576,-3146.501220703125
1689523268.0803206,540672,-3074.505615234375
1689523294.3461463,548864,-3045.94091796875
1689523307.5318344,552960,-2998.99951171875
1689523321.4883513,557056,-2891.498779296875
1689523335.05658,561152,-2882.257080078125
1689523368.609699,571392,-2829.046142578125
1689523408.5610023,583680,-2869.284912109375
1689523454.8243241,598016,-3003.150634765625
1689523465.7585847,600064,-3008.6572265625
1689523499.5616248,610304,-3076.20166015625
1689523506.3593428,612352,-3049.688720703125
1689523526.3744242,618496,-2995.913818359375
1689523533.181546,620544,-2950.125244140625
1689523539.6205063,622592,-2950.22119140625
1689523566.7321272,630784,-2890.385009765625
1689523573.4104037,632832,-2918.73291015625
1689523586.7468328,636928,-2918.5302734375
1689523605.7666993,643072,-2920.210693359375
1689523632.3810112,651264,-2879.953369140625
1689523638.7410717,653312,-2861.634765625
1689523645.6040366,655360,-2852.41162109375
1689523651.996777,657408,-2863.619384765625
1689523664.990498,661504,-2830.263916015625
1689523684.402542,667648,-2825.689453125
1689523691.066776,669696,-2826.571044921875
1689523697.8038638,671744,-2818.5810546875
1689523718.069126,677888,-2854.957275390625
1689523738.509824,684032,-2777.451416015625
1689523777.7532203,696320,-2722.376953125
1689523794.980358,700416,-2788.070068359375
1689523814.964569,706560,-2814.26318359375
1689523821.690172,708608,-2796.36572265625
1689523835.016064,712704,-2834.654541015625
1689523841.7579436,714752,-2881.396484375
1689523875.1969812,724992,-2890.454833984375
1689523881.6141622,727040,-2846.44970703125
1689523908.0777771,735232,-2846.697265625
1689523921.442959,739328,-2744.88671875
1689523941.402213,745472,-2657.53515625
1689523968.1847684,753664,-2518.349609375
1689523995.3632834,761856,-2485.6240234375
1689524008.8912232,765952,-2504.207763671875
1689524035.9745052,774144,-2478.335693359375
1689524042.71548,776192,-2491.149658203125
1689524049.1063857,778240,-2474.87353515625
1689524062.2285855,782336,-2470.1787109375
1689524069.060387,784384,-2488.389892578125
1689524095.7412086,792576,-2509.747802734375
1689524102.4532976,794624,-2510.96826171875
1689524136.5395617,802816,-2558.814697265625
