Wall time,Step,Value
1703934294.2702308,100000,-6259.65673828125
1703934568.233429,200000,-2569.211669921875
1703934832.3884056,300000,-1424.5794677734375
1703935098.63444,400000,-1389.23095703125
1703935361.52075,500000,-1040.67919921875
1703935625.4417503,600000,-1841.4031982421875
1703935892.1139932,700000,-627.759765625
1703936160.1057582,800000,-1260.59765625
1703936427.3601892,900000,-1674.064208984375
1703936697.7135596,1000000,-1888.2789306640625
1703936967.7976143,1100000,-659.517578125
1703937230.160936,1200000,-1937.306640625
1703937499.541408,1300000,-1172.82470703125
1703937768.0907955,1400000,-1855.091796875
1703938034.4489908,1500000,-1106.9298095703125
1703938298.7866836,1600000,-1343.4110107421875
1703938564.9522185,1700000,-914.2493896484375
1703938831.3008807,1800000,-585.0753173828125
1703939097.8770497,1900000,-1179.190673828125
1703939355.4697797,2000000,-1654.2877197265625
